Price,Date,Close,High,Low,Open,Volume
Ticker,,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
23,2023-05-08,107.2572021484375,107.44630051441501,104.65962811592014,104.67952961034783,26511400
24,2023-05-09,106.8392105102539,109.62589071265951,106.67997576350962,107.87426293991619,36360100
25,2023-05-10,111.21826934814453,112.4026095007465,107.41644603746185,107.45625661998795,63153400
26,2023-05-11,116.01533508300781,117.35890998003737,113.86561676637899,114.85090401178836,78900000
27,2023-05-12,116.95086669921875,117.46838909715726,115.55752665279486,116.12481417824908,41073800
28,2023-05-15,115.95561981201172,117.91624729796742,115.45799893103178,115.55752158860936,36266800
29,2023-05-16,118.94135284423828,120.1754505833764,115.87600619542154,115.93571827523857,45035600
30,2023-05-17,120.26502227783203,121.09107484095293,118.32430369516756,119.04087904664145,33323600
31,2023-05-18,122.24555969238281,122.72327153385679,120.25507596902467,120.37450013284676,35234200
32,2023-05-19,122.1758804321289,125.37060556659539,121.56878235183454,122.96212233272476,41330300
33,2023-05-22,124.45498657226562,125.82841748352126,122.15597291663258,122.35502582680218,35253000
34,2023-05-23,121.9768295288086,124.03697969958147,121.62849642613534,123.5692224434729,34046300
35,2023-05-24,120.32473754882812,121.32993391302894,119.28968514492404,120.54369196410875,34182600
36,2023-05-25,122.89246368408203,124.72370499429998,121.37969186050914,123.92750849840978,42317000
37,2023-05-26,124.01707458496094,124.66398323852341,121.86734876877027,122.58392404083384,35635900
38,2023-05-30,123.08155059814453,125.06208723131287,121.41949862779474,125.04217814334058,35076700
39,2023-05-31,122.28536987304688,123.46970252121969,121.91712765193172,122.1659381165275,37325800
40,2023-06-01,123.13131713867188,123.82798336385527,122.03655267348697,122.23559799694154,30772700
41,2023-06-02,124.07678985595703,125.54975101903904,123.17112379211459,123.40002514747484,26963100
42,2023-06-05,125.41041564941406,126.82365711889926,123.25073527073091,123.41993213979819,32305500
43,2023-06-06,126.70423889160156,127.6795716632302,124.76352029992727,125.41042902818297,26638300
44,2023-06-07,121.9171142578125,128.4259886146352,121.53892512668912,126.36584609093107,52539000
45,2023-06-08,121.558837890625,122.64365544606527,120.66311871482401,121.64841360475143,29389200
46,2023-06-09,121.64840698242188,123.17112570184304,121.3299299142625,121.66830847720398,23762500
47,2023-06-12,123.05169677734375,123.45974956411615,121.0811222457333,122.20574275748704,28306400
48,2023-06-13,123.24079895019531,124.5644724206038,122.59389023515342,124.38532858556286,22278300
49,2023-06-14,123.08155059814453,123.45974733869542,120.87211260494071,122.5142630804105,30592300
50,2023-06-15,124.49478912353516,124.86303131123523,121.81759393072211,122.55407071303016,35246300
51,2023-06-16,122.94222259521484,125.50994835044854,122.69341213660132,125.3308045165231,45514000
52,2023-06-20,122.5142593383789,123.97726594287386,121.55882815838247,122.34507006124343,26097500
53,2023-06-21,119.97640228271484,122.07636309263388,119.52853891590576,121.81759809801702,30306300
54,2023-06-22,122.56402587890625,122.65359399380323,118.2645817227319,119.4290127749455,26952200
55,2023-06-23,121.75787353515625,122.20573688397315,120.48396529451563,120.80244235467579,34885300
56,2023-06-26,117.77691650390625,121.41950530782552,117.70724987835497,120.1854075438775,33969900
57,2023-06-27,117.76696014404297,118.51339146949954,115.54756766205826,116.52290793494869,39535900
58,2023-06-28,119.608154296875,119.81715415403947,116.29399743378409,116.5328533286732,27091400
59,2023-06-29,118.53329467773438,119.48872587696212,117.73710580825735,118.67262791972016,24090900
60,2023-06-30,119.13043212890625,120.50387057686662,119.12048517862524,119.59819695723526,29519700
61,2023-07-03,119.3294906616211,119.61811168831736,118.25462771939205,118.67262744367262,14467900
62,2023-07-05,121.17068481445312,122.02659333927569,118.66267890915145,118.67262585976906,27584800
63,2023-07-06,119.53849792480469,119.7275963040598,117.83663529078655,119.22997538441382,24745200
64,2023-07-07,118.91149139404297,120.47402068726721,118.83187022918119,119.52853643899117,21692600
65,2023-07-10,115.89591217041016,117.74706264721117,115.58738962197427,117.73711569558557,35315200
66,2023-07-11,116.5826187133789,117.14990621068708,114.80113505861661,115.73666473923052,23078800
67,2023-07-12,118.36410522460938,119.75744523552781,117.8465828398585,118.2347265266947,30404400
68,2023-07-13,123.94742584228516,124.23604690144109,119.87688256540194,120.35460201337214,44297900
69,2023-07-14,124.82322692871094,126.17675640796054,122.90240991720911,124.20618186143912,33266800
70,2023-07-17,124.05689239501953,126.49523177773591,123.60902902733594,125.34075523343135,25716200
71,2023-07-18,123.17112731933594,124.08674795318163,122.37493084193565,124.00712678682312,26226400
72,2023-07-19,121.44935607910156,124.5843692790778,121.22045471640399,124.00712721064436,37224000
73,2023-07-20,118.63282012939453,123.49955194883329,117.65748741253887,120.84225815158732,37906800
74,2023-07-21,119.44891357421875,120.41429930342547,118.16505837628159,120.04606470909158,72937900
75,2023-07-24,120.95173645019531,122.41474313178708,120.40435800830701,121.08112274560483,29686100
76,2023-07-25,121.62849426269531,122.56402394445624,120.44415414158027,120.78254028750972,52509600
77,2023-07-26,128.6549072265625,130.35676214061976,127.70943058695467,129.45110367587904,61682100
78,2023-07-27,128.78427124023438,132.6060109493417,128.17717318949514,131.04347417477982,44952100
79,2023-07-28,131.94915771484375,133.1036418304535,129.94872719345616,130.15771946410177,36591200
80,2023-07-31,132.08848571777344,132.89462910208388,131.1529560469299,132.09843266820528,28055500
81,2023-08-01,130.92405700683594,131.99891993360347,130.05818634611023,130.15771659691958,23166800
82,2023-08-02,127.76914978027344,129.47100478913018,126.95304419806331,128.83405063143312,26273300
83,2023-08-03,127.83879852294922,128.77432818875712,126.81370074518537,127.36108673966699,20089500
84,2023-08-04,127.50042724609375,130.88424328208276,127.30138192389168,128.6648583264697,26130000
85,2023-08-07,130.90415954589844,130.98378071638075,128.4061079650305,128.5454412168282,22746300
86,2023-08-08,130.77476501464844,130.88424221889798,128.92361467945548,129.998477634037,23535200
87,2023-08-09,129.04306030273438,131.41172554952155,128.3861970452602,131.0335439778547,24912900
88,2023-08-10,129.0729217529297,131.42169319546548,128.83405823487684,130.695170875727,20857800
89,2023-08-11,128.94351196289062,129.31174653157146,127.5601266101201,128.04780050916526,19569200
90,2023-08-14,130.70510864257812,130.74491163303028,128.34639041402843,128.77433710267465,24695600
91,2023-08-15,129.16249084472656,130.7946869315138,128.66486990136232,130.47621742457744,19770700
92,2023-08-16,128.08761596679688,129.66009982508598,127.26157104777742,128.08761596679688,25216100
93,2023-08-17,129.30181884765625,131.36197675884557,128.6748116249142,129.18239468568078,33446300
94,2023-08-18,126.853515625,128.63499931194184,125.77865268655036,127.89851493202701,30491300
95,2023-08-21,127.7591781616211,128.11746579787294,125.95779302992129,126.57484564637545,25248700
96,2023-08-22,128.46580505371094,129.6600920991953,127.70942680168035,127.89850997505022,22067500
97,2023-08-23,131.7401580810547,132.77521810347412,129.25205347010368,129.56057601207195,27819700
98,2023-08-24,129.16249084472656,133.61122329329774,128.95349855277775,133.31264769004198,28500700
99,2023-08-25,129.2620086669922,130.13781111641472,126.64451789723837,128.92361491657198,26762900
100,2023-08-28,130.38661193847656,131.90933055130816,129.52075650385797,130.6851874909537,20543300
101,2023-08-29,133.92970275878906,135.92018645455218,131.6107874308828,131.6107874308828,43075600
102,2023-08-30,135.23345947265625,135.6315501147355,133.43207426004315,134.1386874276615,28315800
103,2023-08-31,135.52207946777344,137.34337385647325,135.14388270916908,135.36283712876264,30053800
104,2023-09-01,135.01451110839844,136.80594945032874,134.20836765107612,136.80594945032874,21524600
105,2023-09-05,135.12399291992188,135.77089406084173,133.93965266502593,134.79556128053332,19403100
106,2023-09-06,133.82022094726562,135.88036360473524,133.03397141020704,135.37279574679286,18684500
107,2023-09-07,134.6164093017578,134.93489398818454,132.31740302153798,132.95435720820575,18844300
108,2023-09-08,135.7310791015625,136.00974558565406,134.2083603898534,134.2680724669895,23558300
109,2023-09-11,136.26852416992188,136.82585722476293,135.14389592171182,135.89032737434255,20763400
110,2023-09-12,134.69602966308594,136.21874849371267,134.54674945858747,135.61165035177623,18405500
111,2023-09-13,136.0594940185547,136.24857717755862,133.51166261259814,134.44719220277383,20749500
112,2023-09-14,137.44290161132812,138.0400375924637,135.59175121605634,136.94528070062265,24751000
113,2023-09-15,136.74623107910156,137.86091233447098,135.83061035281736,137.32347320383892,38908400
114,2023-09-18,137.5523681640625,138.4978447839275,135.95997529868072,135.95997529868072,21861300
115,2023-09-19,137.3831787109375,137.75142852316634,135.96993710197103,136.7661336216356,20353700
116,2023-09-20,133.10365295410156,137.42299901850853,132.98421360328075,137.42299901850853,29927500
117,2023-09-21,129.81935119628906,131.6008274512888,129.45111656611377,130.81459306049098,31488700
118,2023-09-22,129.63023376464844,131.40176280772747,128.98333272244602,130.1378015737834,26397300
